	movie_id	character	agent_verbs	patient_verbs	attributes	title	religion	age	death	children
22351	4191487	Hector			['day']					
22352	4191487	Tess			['mother']					
22353	1994205	Ethan Dulles	['threatens', 'sabotages']	['expose']						
22354	1994205	Angela Patton	['fall', 'get']	['take', 'paid']	['telling', 'relationship', 'roommate']					
22355	1994205	Dave Goodwin	['fall', 'paid', 'convinces', 'cheating', 'get']	['sabotages']						
22356	1994205	Sam Schecter	['ends']							
22357	15202473	William Packett	['encounters', 'chases', 'persuades', 'comes']		['love']					
22358	15202473	Susan	['takes', 'loves', 'insists', 'claims', 'elopes', 'has', 'does']	['see', 'annoyed']	['daughter', 'instructions']					
22359	15202473	Julia Packett	['remains', 'married', 'left', 'manages', 'ends', 'reaches', 'returned', 'sees', 'observes', 'tries']	['show', 'see', 'walk']	['suggestion', 'misdeed', 'method']					
22360	15202473	Fred Ghenoccio	['shows', 'proposes']	['claim']		acrobat				
22361	15202473	Ritchie Lorgan				painter				
22362	4556313	Barney	['found', 'tells', 'catches', 'chases', 'takes', 'arrives', 'finds', 'trying', 'reporter', 'late', 'comes']	['get', 'leaving', 'pushing']	['suspicious']					
22363	4556313	Mike	['go', 'slugs', 'runs', 'agree', 'gets', 'follows', 'sent', 'tries', 'decides', 'tell', 'gives', 'sees', 'has', 'bound', 'gagged', 'captive', 'pushes']	['go', 'accuses', 'followed', 'reunited', 'tell', 'loves']	['ashamed', 'ruses']	reporter				
22364	4556313	Sally Parker	['believe', 'agree', 'running', 'give', 'decide', 'realizes', 'she']	['save', 'kidnaps', 'steal', 'overwhelm', 'finds', 'run', 'search']	['room', 'ruses']					
22365	4556313	Berger			['editor']	editor				
22366	4556313	Hilda			['wife']					
22367	4556313	Baron Otto Spandermann				aviator				
22368	13237020	Stevie	['believes', 'diagnosed']		['psychologist']	psychologist				
22369	13237020	Dean	['break', 'take']		['hood']					
22370	13237020	Shane		['help']	['son']					
22371	76394	Sandy Lester	['catches', 'varying']	['watching', 'believes']		student				
22372	76394	Les	['proposes', 'varying', 'shows']	['watching']	['father']					
22373	76394	Jeff Slater	['masquerade', 'exception', 'varying', 'watch', 'remarks']	['watching']						
22374	76394	Michael Dorsey	['plays', 'finds', 'takes', 'believes', 'makes', 'waits', 'hears', 'approaches']	['catches']	['attention', 'attraction']	administrator				
22375	76394	Michael Dorsey	['plays', 'finds', 'takes', 'believes', 'makes', 'waits', 'hears', 'approaches']	['catches']	['attention', 'attraction']	actor				
22376	76394	Julie Nichols	['shocked', 'admits', 'asking', 'tells', 'resists', 'outraged']	['approaches']	['father']					
22377	76394	Dorothy Michaels	['has']	['tells', 'told', 'misses']	['popularity', 'part', 'resentment']					
22378	76394	George Fields	['masquerade']							
22379	76394	John Van Horn	['follows']							
22380	76394	Ron Carlisle				director				
22381	11567553	Gerry	['one', 'take', 'helps', 'resisted']		['attempts']					
22382	11567553	Franky	['goes', 'marries']							
22383	11567553	Tony		['resisted']						
22384	11567553	Marty		['marries']						
22385	11567553	David			['son']					
22386	26432074	Ananthu	['use']		['son']					
22387	26432074	Aswathy	['love']		['brother']					
22388	26432074	Bhaskaran	['encouraged']							
22389	26432074	Kochukurup	['gives']							
22390	26432074	Chandutty	['encouraged']							
22391	26432074	Subhadra		['has']	['son']					
22392	26432074	Karthik		['fix']	['brother', 'lover']					
22393	26432074	Veerabhadra Kurup			['sons']					
22394	26432074	Kochchukurup			['sons']					
22395	28838468	Teta	['guides']							
22396	28838468	Kazi	['guides']							
22397	28838468	Přemysl	['kills', 'meets']		['ploughman']					
22398	28838468	Krok	['dies']		['great']					
22399	28838468	Libuše	['gives']		['friend', 'daughter']					
22400	28838468	Amazon Vlasta		['meets']	['friend']					
22401	28838468	Nezamysl			['son']					his
22402	15119799	Chelsea	['asks', 'visited', 'introduces']	['estranged']						
22403	15119799	Ethel	['spends']							
22404	15119799	Bill	['have']		['son', 'fiance']					
22405	15119799	Norman Thayer	['bonded']		['manner']					
22406	15119799	Billy		['stay', 'permit']						
22407	4758386	Leslie	['believes', 'announces']	['meets']	['player']	poker player				
22408	4758386	Elizabeth	['gets', 'returns', 'realizes', 'calling']							
22409	4758386	Jeremy	['had', 'émigré']							
22410	4758386	Beth	['agrees']	['lend']						
22411	4758386	Lizzie		['calling']	['regulars', 'drifts']					
22412	4758386	Arnie Copeland			['tab']	policeman				
22413	18609739	Mateo Blanco	['read', 'return', 'hiding', 're-edit', 'escape', 'loses', 'pick', 'go']	['injured']	['name', 'maletas', 'reputation', 'career', 'affair']					
22414	18609739	Judit	['stricken', 'hid', 'ignored', 'arrive', 'becomes']	['help']	['agent', 'assistant']	production assistant				
22415	18609739	Diego	['re-edit', 'arrive']	['collects', 'hospitalized', 'help']	['old', 'son']					
22416	18609739	Ernesto Martel	['died', 'possessive', 'confronts', 'sabotaged', 'screens']		['bringing', 'order', 'hold', 'secretary', 'son', 'mistress']	actress				
22417	18609739	Ernesto Martel	['died', 'possessive', 'confronts', 'sabotaged', 'screens']		['bringing', 'order', 'hold', 'secretary', 'son', 'mistress']	financier				
22418	18609739	Harry Caine	['hears', 'living', 'decides', 'shares', 'father', 'tells', 'looks', 'collects']	['return']		writer				
22419	18609739	"Lena "" Rivero"	['hiding', 'takes']	['killed', 'confronts']		financier				
22420	18609739	"Lena "" Rivero"	['hiding', 'takes']	['killed', 'confronts']		producer				
22421	18609739	"Lena "" Rivero"	['hiding', 'takes']	['killed', 'confronts']		secretary				
22422	18609739	"Lena "" Rivero"	['hiding', 'takes']	['killed', 'confronts']		actress				
22423	18609739	Almodóvar			['release']					
22424	18609739	Ray X				filmmaker				
22425	18609739	Magdalena				actress				
22426	402866	Esmeralda	['escape', 'gave', 'intervenes', 'entrusts', 'rescues', 'befriends', 'follows', 'takes', 'encouraged', 'offers', 'finds']	['chases', 'burn']	['gypsy']					
22427	402866	Quasimodo	['pours', 'stumble', 'brings', 'sneaks', 'him', 'helped', 'helps', 'rescues', 'develops']	['encouraged', 'scolds', 'entrusts', 'finds', 'gave', 'chases', 'leave', 'attend', 'caught', 'follows', 'find', 'help']	['Court', 'company', 'knowing']					
22428	402866	Claude Frollo	['prepares', 'refuses', 'chases', 'falls', 'told', 'begs', 'scolds', 'realizing', 'capture', 'returns', 'breaks', 'orders', 'agrees', 'develops', 'follow', 'sends', 'ambushed', 'kills']	['accuses', 'raise', 'help', 'burn', 'defies']	['methods', 'men', 'actions', 'warnings', 'guard', 'minister']	minister				
22429	402866	Claude Frollo	['prepares', 'refuses', 'chases', 'falls', 'told', 'begs', 'scolds', 'realizing', 'capture', 'returns', 'breaks', 'orders', 'agrees', 'develops', 'follow', 'sends', 'ambushed', 'kills']	['accuses', 'raise', 'help', 'burn', 'defies']	['methods', 'men', 'actions', 'warnings', 'guard', 'minister']	Judge				
22430	402866	Phoebus	['releases', 'encouraged', 'approve', 'falls', 'defies', 'refuses', 'caught', 'followed', 'becomes']	['arrest', 'gave', 'injured']	['guard']	Captain				
22431	402866	Clopin			['puppeteer']	puppeteer				
22432	402866	Archdeacon			['suggestion']					
22433	10004664	Malika	['turns', 'goes', 'returns', 'embrace', 'enjoy']	['housing', 'explain', 'express']	['kidnapped', 'room']	film star				
22434	10004664	Kittu	['going', 'have', 'finds', 'embrace', 'begins', 'rescued', 'love', 'realizes', 'student', 'returns']	['devastated', 'marry', 'beat', 'feel', 'confronts', 'love', 'express', 'leaving']	['family']	student				
22435	10004664	Nisha	['explains', 'have']	['marry']						
22436	10004664	Mathur		['taken']						
22437	26138037	Jonathan	['arrives', 'worries']	['smitten']	['boy']					
22438	26138037	Henry			['son']					
22439	11627124	Tirupathi	['returning', 'man', 'gets']		['companies']					
22440	11627124	Tirupati	['wins', 'demands']							
22441	7731853	Simonetta	['rejected', 'accepts', 'encounters', 'marries', 'breaking', 'learns']	['marry', 'asks', 'freeing', 'naming', 'have']	['love', 'her']					
22442	7731853	Tito	['realizes', 'dies', 'believe', 'knows', 'finds', 'adopts', 'survives', 'naming', 'raises', 'begin', 'falls']	['tells', 'throws']	['clown', 'affections']	clown				
22443	7731853	Luigi	['begins', 'asks']	['marry', 'loved', 'encounters', 'marries']	['man', 'proposal']					
22444	7731853	Simon	['begin']							
22445	12868752	Dudley	['willing']	['do']		presenter				
22446	12868752	Randal	['telemarketer']							
22447	12868752	Germaine	['activist']			activist				
22448	12868752	Anne		['ignore']						
22449	12862519	Sugath Weerasekara	['lost', 'has', 'keeps', 'comes', 'heartbroken', 'unable', 'begins']	['loved', 'meet', 'accept', 'meet', 'drink', 'forget', 'tells']		teacher				
22450	12862519	Champa	['willing']	['passes', 'accept']	['marries']					
22451	12862519	Dhammi	['young', 'tells', 'comes', 'reveals']	['attracted', 'meet', 'forget']	['school']					
22452	12862519	Sarath		['meet']	['brother']					
22453	12862519	Nihal			['cousin']					
22454	34430499	Rann	['has']							
22455	34430499	Ruhi	['love']							
22456	34430499	Ranbir			['musician']	musician				
22457	28731928	Micheal Velayudham	['fails', 'tries', 'meets', 'gets', 'frustrated']	['regret', 'connect']		chef				
22458	28731928	Meera Shastri	['married', 'moves']	['proposed', 'meets']						
22459	28731928	Michael	['realises']							
22460	28731928	Sudheer		['married']	['friend']	politician				
22461	28731928	Michelle			['girl']					
22462	9975140	Janet	['defeat', 'asks', 'make']		['all', 'prissy', 'insecure']					
22463	9975140	Max	['frustrated', 'take', 'defeat', 'facing', 'make']		['none', 'tough', 'all']					
22464	9975140	Dominique	['defeat', 'make']		['all']	student				
22465	9975140	Lucy	['punches', 'makes', 'happy', 'becomes', 'keeps']	['spotted', 'tells']	['henchmen', 'named', 'quarters', 'hideout']					
22466	9975140	Amy	['tells', 'screaming', 'timing']	['asks', 'capturing', 'captured']	['all', 'tryst']	captain				
22467	9975140	Tibbs				boss				
22468	9662019	Gayatri	['become']	['includes']						
22469	9662019	Allan	['engineer', 'become']			engineer				
22470	9662019	Indira		['includes']						
22471	9662019	Narendra Sen				boss				
22472	19004390	Raffy	['loves', 'spent', 'realizes']	['orphaned', 'had']	['girlfriends']					
22473	19004390	Andrew	['discovers', 'goes', 'meets']	['orphaned']	['brother']					
22474	19004390	Faye		['loves', 'meets']	['one']					
22475	6337456	Andrew	['jealous', 'sleeps']							
22476	6337456	Shayna	['starts']		['roommate']					
22477	6337456	Joe			['girl']					
22478	6034681	Julie Eden	['is', 'breaks', 'lies', 'blocks']	['tells', 'destroy']	['happiness']					
22479	6034681	Maida	['let', 'shows', 'clear', 'tries', 'admits']	['see']	['plotting', 'path', 'exposed']					
22480	6034681	Alec Walker	['catches', 'gets', 'falls']	['see']	['position', 'parents', 'distraught', 'father']					
22481	6034681	Muller	['tells']							
22482	1134154	Kichizo Ishida	['leaves', 'finds']		['eager', 'owner']	owner				
22483	1134154	Sada Abe	['prostitute', 'becomes', 'writes', 'severs']			prostitute				
22484	27707389	Thomas	['came']		['veteran']					
22485	27707389	Ali Ozkan	['mistreated']	['helped']	['wife']					
22486	27707389	Laura		['named']						
22487	20898995	Ben Phillips	['writes', 'comes', 'attendees', 'died', 'One']							
22488	20898995	Elizabeth Leroy	['becomes', 'have', 'lives', 'receives']							
22489	20898995	Will Bishop	['have']	['blessed', 'married']						
22490	20898995	Fran			['friend']					
22491	6015667	Prithvi	['leads']		['groups']					
22492	6015667	Shashank	['leaders']							
22493	6015667	Sashank			['groups']					
22494	6015667	Bhikshu Yadav				leader				
22495	17998525	Jack Foley	['goes', 'escorts', 'realizes']	['visit', 'confronts']	['drunk']	rugby player				
22496	17998525	Nan Mahon	['recognizes', 'cuts', 'heads', 'becomes', 'visit', 'moved', 'confronts', 'not', 'poor', 'runs', 'believes']	['confronts', 'escorts', 'aware', 'asks', 'marry', 'have']	['sophisticated', 'mature', 'desperate']					
22497	17998525	Benny	['relents', 'expected', 'child', 'falls', 'forgive', 'able', 'commute']	['try', 'tells', 'finds', 'visit', 'resist', 'set', 'follow']	['father', 'best']					
22498	17998525	Eve Malone	['confronts', 'suspicious']	['follow', 'set']	['cottage', 'education']					
